host_name,host_since,neighbourhood,property_type,room_type,price
Yoshimi & Marek,2011-08-13,,Entire rental unit,Entire home/apt,"$10,400.00"
Best Stay In Tokyo!,2013-01-25,"Shibuya, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$27,735.00"
Wakana,2013-03-24,"Setagaya, Tokyo Prefecture, Japan",Private room in home,Private room,"$25,143.00"
Yukiko,2013-03-30,"足立区, Tokyo, Japan",Private room in home,Private room,"$6,243.00"
Yume,2013-06-09,,Entire home,Entire home/apt,"$56,751.00"
Haruko,2013-06-12,,Private room in home,Private room,"$11,395.00"
Sugi,2012-03-13,"Meguro, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$11,425.00"
K Family,2013-07-26,"Katsushika, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$46,012.00"
Kei,2011-07-10,"Kita-ku, Tokyo Prefecture, Japan",Private room in home,Private room,"$8,961.00"
Hisao,2014-07-06,"Arakawa-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$2,900.00"
Ken,2014-01-23,"Machida, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$4,551.00"
Tomo,2014-05-14,"Toshima-ku, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$26,890.00"
Masakatsu,2014-03-11,"Edogawa, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$10,094.00"
Best Stay In Tokyo!,2013-01-25,"Nakano, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$25,730.00"
近藤,2014-07-24,"Shibuya-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$30,600.00"
Masaharu,2013-06-25,,Entire rental unit,Entire home/apt,"$44,000.00"
David,2013-04-01,"Meguro, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$32,271.00"
Yayoi,2013-07-17,"Toshima, Tokyo Prefecture, Japan",Private room in home,Private room,"$6,000.00"
Yayoi,2013-07-17,"Toshima, Tokyo Prefecture, Japan",Private room in home,Private room,"$5,500.00"
